# k, delta_cdm, delta_b, delta_g, delta_nu, delta_num, delta_tot, delta_nonu, delta_tot_nodm, phi, v_cdm, v_b, v_b_cdm
6.01296606e-04 6.25230797e+02 6.25173899e+02 3.76599459e+01 3.63199938e+01 0.00000000e+00 6.25046734e+02 5.88726740e+02 6.25046734e+02 1.46591306e-05 2.83606096e+02 2.83580287e+02 2.58089462e-02
6.42534877e-04 6.24601216e+02 6.24541082e+02 3.42791465e+01 3.37672873e+01 0.00000000e+00 6.24415924e+02 5.90648636e+02 6.24415924e+02 1.46441459e-05 2.83320517e+02 2.83293240e+02 2.72769953e-02
6.86315124e-04 6.23910879e+02 6.23847821e+02 3.12800497e+01 3.13327112e+01 0.00000000e+00 6.23724506e+02 5.92391795e+02 6.23724506e+02 1.46277809e-05 2.83007379e+02 2.82978775e+02 2.86032755e-02
7.32655124e-04 6.23157507e+02 6.23091909e+02 2.75216587e+01 2.78560153e+01 0.00000000e+00 6.22969872e+02 5.95113857e+02 6.22969872e+02 1.46099611e-05 2.82665647e+02 2.82635892e+02 2.97551601e-02
7.81544127e-04 6.22339407e+02 6.22271704e+02 2.26554960e+01 2.30243430e+01 0.00000000e+00 6.22150239e+02 5.99125896e+02 6.22150239e+02 1.45906326e-05 2.82294556e+02 2.82263845e+02 3.07103521e-02
8.32943351e-04 6.21455540e+02 6.21386187e+02 1.71965712e+01 1.74322208e+01 0.00000000e+00 6.21264732e+02 6.03832511e+02 6.21264732e+02 1.45697667e-05 2.81893631e+02 2.81862172e+02 3.14588491e-02
8.86787978e-04 6.20505550e+02 6.20434993e+02 1.22111823e+01 1.22419755e+01 0.00000000e+00 6.20313326e+02 6.08071350e+02 6.20313326e+02 1.45473605e-05 2.81462714e+02 2.81430709e+02 3.20046053e-02
9.42990408e-04 6.19488204e+02 6.19416841e+02 8.71307256e+00 8.54761696e+00 0.00000000e+00 6.19295091e+02 6.10747474e+02 6.19295091e+02 1.45233946e-05 2.81001243e+02 2.80968873e+02 3.23704579e-02
1.00144441e-03 6.18405411e+02 6.18333564e+02 7.06919020e+00 6.76015026e+00 0.00000000e+00 6.18212036e+02 6.11451886e+02 6.18212036e+02 1.44979204e-05 2.80510086e+02 2.80477496e+02 3.25899270e-02
1.06202975e-03 6.17259481e+02 6.17187372e+02 6.77693827e+00 6.38680238e+00 0.00000000e+00 6.17066309e+02 6.10679506e+02 6.17066309e+02 1.44709909e-05 2.79990289e+02 2.79957581e+02 3.27085376e-02
1.12461685e-03 6.16052499e+02 6.15980234e+02 6.78838170e+00 6.37414808e+00 0.00000000e+00 6.15859662e+02 6.09485514e+02 6.15859662e+02 1.44426464e-05 2.79442800e+02 2.79410020e+02 3.27794055e-02
1.18907121e-03 6.14786960e+02 6.14714521e+02 6.19153682e+00 5.80722391e+00 0.00000000e+00 6.14594298e+02 6.08787074e+02 6.14594298e+02 1.44129342e-05 2.78868748e+02 2.78835890e+02 3.28581423e-02
1.25525718e-03 6.13465647e+02 6.13392906e+02 4.77860605e+00 4.47802812e+00 0.00000000e+00 6.13272920e+02 6.08794892e+02 6.13272920e+02 1.43819131e-05 2.78269398e+02 2.78236402e+02 3.29957486e-02
1.32304119e-03 6.12091548e+02 6.12018280e+02 3.08334513e+00 2.90709162e+00 0.00000000e+00 6.11898658e+02 6.08991566e+02 6.11898658e+02 1.43496535e-05 2.77646103e+02 2.77612869e+02 3.32343793e-02
1.39229413e-03 6.10667776e+02 6.10593693e+02 1.87010003e+00 1.82104753e+00 0.00000000e+00 6.10474835e+02 6.08653788e+02 6.10474835e+02 1.43162336e-05 2.77000277e+02 2.76966673e+02 3.36045057e-02
1.46289315e-03 6.09197494e+02 6.09122274e+02 1.49817308e+00 1.52915926e+00 0.00000000e+00 6.09004710e+02 6.07475551e+02 6.09004710e+02 1.42817315e-05 2.76333354e+02 2.76299234e+02 3.41203710e-02
1.53472279e-03 6.07683860e+02 6.07607179e+02 1.68273991e+00 1.71617334e+00 0.00000000e+00 6.07491351e+02 6.05775178e+02 6.07491351e+02 1.42462204e-05 2.75646766e+02 2.75611983e+02 3.47827901e-02
1.60767562e-03 6.06130017e+02 6.06051581e+02 1.81902805e+00 1.79035292e+00 0.00000000e+00 6.05937726e+02 6.04147373e+02 6.05937726e+02 1.42097693e-05 2.74941939e+02 2.74906361e+02 3.55787833e-02
1.68165249e-03 6.04538958e+02 6.04458518e+02 1.53737188e+00 1.42926151e+00 0.00000000e+00 6.04346730e+02 6.02917468e+02 6.04346730e+02 1.41724443e-05 2.74220231e+02 2.74183744e+02 3.64876071e-02
1.75656249e-03 6.02913621e+02 6.02830991e+02 9.74283169e-01 8.13580376e-01 0.00000000e+00 6.02721357e+02 6.01907776e+02 6.02721357e+02 1.41343141e-05 2.73482975e+02 2.73445494e+02 3.74813794e-02
1.83232264e-03 6.01256770e+02 6.01171823e+02 5.46222043e-01 3.69649873e-01 0.00000000e+00 6.01064504e+02 6.00694854e+02 6.01064504e+02 1.40954464e-05 2.72731424e+02 2.72692892e+02 3.85322098e-02
1.90885753e-03 5.99571043e+02 5.99483710e+02 4.96409724e-01 3.20000206e-01 0.00000000e+00 5.99378886e+02 5.99058886e+02 5.99378886e+02 1.40559054e-05 2.71966774e+02 2.71927160e+02 3.96143446e-02
1.98609882e-03 5.97858938e+02 5.97769194e+02 6.74984813e-01 4.95337479e-01 0.00000000e+00 5.97666963e+02 5.97171625e+02 5.97666963e+02 1.40157496e-05 2.71190160e+02 2.71149451e+02 4.07084093e-02
2.06398467e-03 5.96122736e+02 5.96030579e+02 7.38536521e-01 5.58085020e-01 0.00000000e+00 5.95930915e+02 5.95372829e+02 5.95930915e+02 1.39750297e-05 2.70402614e+02 2.70360812e+02 4.18026732e-02
2.14245923e-03 5.94364667e+02 5.94270104e+02 5.19308736e-01 3.73958520e-01 0.00000000e+00 5.94172927e+02 5.93798969e+02 5.94172927e+02 1.39337962e-05 2.69605150e+02 2.69562256e+02 4.28936707e-02
2.22147211e-03 5.92586729e+02 5.92489759e+02 1.70524801e-01 3.19612597e-01 0.00000000e+00 5.92395070e+02 5.92075457e+02 5.92395070e+02 1.38920967e-05 2.68798673e+02 2.68754688e+02 4.39856972e-02
2.30097784e-03 5.90790832e+02 5.90691430e+02 -3.47084018e-02 6.68262985e-01 0.00000000e+00 5.90599329e+02 5.89931066e+02 5.90599329e+02 1.38499784e-05 2.67984051e+02 2.67938961e+02 4.50890830e-02
2.38093540e-03 5.88978673e+02 5.88876781e+02 -1.11300851e-03 1.15895792e+00 0.00000000e+00 5.88787382e+02 5.87628424e+02 5.88787382e+02 1.38074810e-05 2.67162051e+02 2.67115833e+02 4.62182406e-02
2.46130777e-03 5.87151919e+02 5.87047450e+02 1.16718688e-01 1.42548921e+00 0.00000000e+00 5.86960817e+02 5.85535328e+02 5.86960817e+02 1.37646419e-05 2.66333431e+02 2.66286044e+02 4.73873348e-02
2.54206153e-03 5.85312060e+02 5.85204893e+02 1.15392172e-01 1.36070142e+00 0.00000000e+00 5.85121071e+02 5.83760370e+02 5.85121071e+02 1.37214943e-05 2.65498867e+02 2.65450256e+02 4.86110046e-02
2.62316647e-03 5.83460519e+02 5.83350513e+02 -3.29511915e-02 1.14658221e+00 0.00000000e+00 5.83269581e+02 5.82122999e+02 5.83269581e+02 1.36780714e-05 2.64659004e+02 2.64609105e+02 4.98989918e-02
2.70459529e-03 5.81598554e+02 5.81485552e+02 -1.78447225e-01 1.02688068e+00 0.00000000e+00 5.81407656e+02 5.80380775e+02 5.81407656e+02 1.36344040e-05 2.63814413e+02 2.63763155e+02 5.12576655e-02
2.78632325e-03 5.79727360e+02 5.79611209e+02 -1.87549954e-01 1.07830340e+00 0.00000000e+00 5.79536526e+02 5.78458223e+02 5.79536526e+02 1.35905210e-05 2.62965635e+02 2.62912948e+02 5.26867462e-02
2.86832795e-03 5.77848074e+02 5.77728622e+02 -9.31353027e-02 1.18181055e+00 0.00000000e+00 5.77657307e+02 5.76475496e+02 5.77657307e+02 1.35464488e-05 2.62113186e+02 2.62059003e+02 5.41836708e-02
2.95058904e-03 5.75961692e+02 5.75838808e+02 -3.67141971e-02 1.18325897e+00 0.00000000e+00 5.75770954e+02 5.74587695e+02 5.75770954e+02 1.35022098e-05 2.61257519e+02 2.61201779e+02 5.57403456e-02
3.03308806e-03 5.74069233e+02 5.73942804e+02 -9.15372672e-02 1.05833251e+00 0.00000000e+00 5.73878473e+02 5.72820140e+02 5.73878473e+02 1.34578272e-05 2.60399096e+02 2.60341747e+02 5.73483008e-02
3.11580819e-03 5.72171450e+02 5.72041385e+02 -1.82651350e-01 9.17622279e-01 0.00000000e+00 5.71980647e+02 5.71063025e+02 5.71980647e+02 1.34133194e-05 2.59538257e+02 2.59479259e+02 5.89980449e-02
3.19873413e-03 5.70268730e+02 5.70134952e+02 -6.35635264e-01 -6.47385443e-01 0.00000000e+00 5.70077636e+02 5.70725021e+02 5.70077636e+02 1.33686944e-05 2.58675179e+02 2.58614497e+02 6.06821288e-02
3.28185191e-03 5.68362497e+02 5.68224943e+02 -6.01833526e-01 -6.12958747e-01 0.00000000e+00 5.68171384e+02 5.68784343e+02 5.68171384e+02 1.33239892e-05 2.57810507e+02 2.57748113e+02 6.23947035e-02
3.36514877e-03 5.66453619e+02 5.66312232e+02 -5.70483697e-01 -5.81029419e-01 0.00000000e+00 5.66262477e+02 5.66843507e+02 5.66262477e+02 1.32792219e-05 2.56944636e+02 2.56880502e+02 6.41334907e-02
3.44861305e-03 5.64542210e+02 5.64396932e+02 -5.41373488e-01 -5.51381036e-01 0.00000000e+00 5.64351031e+02 5.64902412e+02 5.64351031e+02 1.32343953e-05 2.56077616e+02 2.56011718e+02 6.58980839e-02
3.53223408e-03 5.62628096e+02 5.62478864e+02 -5.14311409e-01 -5.23818412e-01 0.00000000e+00 5.62436870e+02 5.62960688e+02 5.62436870e+02 1.31895052e-05 2.55209370e+02 2.55141678e+02 6.76916842e-02
3.61600205e-03 5.60714962e+02 5.60561701e+02 -4.89071993e-01 -4.98112729e-01 0.00000000e+00 5.60523676e+02 5.61021789e+02 5.60523676e+02 1.31446378e-05 2.54341568e+02 2.54272049e+02 6.95193279e-02
3.69990797e-03 5.58800783e+02 5.58643409e+02 -4.65535492e-01 -4.74141316e-01 0.00000000e+00 5.58609424e+02 5.59083565e+02 5.58609424e+02 1.30997458e-05 2.53473293e+02 2.53401907e+02 7.13854604e-02
